case_id,customer_id,region,industry,invoice_amount_usd,num_open_invoices,overdue_days_at_allocation,previous_default_count,previous_recovery_rate,payment_history_score,credit_score_band,contact_attempts_last_30d,last_contact_channel,dispute_flag,promised_to_pay_flag,assigned_dca_id,assigned_date,sla_days,sla_due_date,current_stage_snapshot,recovered_flag,recovered_amount_usd,recovery_days_from_allocation,recovery_date,recovered_within_30d,recovered_within_60d,escalation_flag,model_collectability_bucket_hint
C000040,16316,EU,Automotive,16929.12,3,72,0,0.899,664.0,Fair,2,Phone,0,1,DCA-08,2026-01-09,17,2026-01-26,Closed,1,15864.1,35.0,2026-02-13,0,1,0,Medium
C000041,11652,IND,Energy,18503.27,5,304,1,0.937,630.9,Fair,6,Phone,0,0,DCA-09,2025-12-25,23,2026-01-17,Escalated,0,0.0,,,0,0,1,Low
C000042,17580,NA,Automotive,26203.52,3,62,2,0.876,597.8,Fair,6,In-person,0,0,DCA-03,2025-02-19,27,2025-03-18,In Progress,0,0.0,,,0,0,0,Medium
C000043,17005,MEA,FMCG,11531.29,4,102,0,0.749,632.1,Fair,1,Email,0,0,DCA-07,2025-07-02,30,2025-08-01,In Progress,0,0.0,,,0,0,0,Low
C000044,13545,MEA,Manufacturing,11896.99,6,112,1,0.948,620.2,Fair,1,Phone,0,1,DCA-06,2025-09-25,13,2025-10-08,Closed,1,11896.99,32.0,2025-10-27,0,1,0,Medium
C000045,10679,EU,Technology,5258.06,4,74,1,0.871,603.1,Fair,4,In-person,0,0,DCA-06,2025-11-30,15,2025-12-15,Closed,1,5000.01,52.0,2026-01-21,0,1,0,Low
C000046,19706,NA,Logistics,11577.69,4,343,1,0.944,599.3,Fair,8,Email,0,0,DCA-03,2025-01-04,17,2025-01-21,Escalated,0,0.0,,,0,0,1,Low
C000047,14456,IND,Finance,5524.22,6,77,2,0.504,649.5,Fair,1,Email,1,0,DCA-07,2025-06-20,18,2025-07-08,Dispute,0,0.0,,,0,0,0,Low
C000048,18931,EU,Finance,3664.66,3,178,1,1.0,686.4,Good,4,Email,0,0,DCA-07,2026-01-10,25,2026-02-04,Closed,1,3442.03,54.0,2026-03-05,0,1,0,Medium
C000049,16779,IND,Aviation,6250.24,6,207,1,0.612,606.8,Fair,2,Portal,0,0,DCA-10,2025-07-05,30,2025-08-04,Escalated,0,0.0,,,0,0,1,Low
C000050,17783,IND,Automotive,38410.24,6,95,2,0.449,509.5,Poor,6,In-person,1,0,DCA-07,2025-05-14,14,2025-05-28,Escalated,0,0.0,,,0,0,1,Low
C000051,17598,NA,Manufacturing,11054.66,7,172,0,0.732,682.9,Good,4,Phone,0,0,DCA-07,2025-01-30,7,2025-02-06,In Progress,0,0.0,,,0,0,0,Medium
C000052,11946,EU,Finance,15582.66,4,63,0,1.0,836.1,Excellent,4,In-person,0,0,DCA-04,2025-04-25,16,2025-05-11,In Progress,0,0.0,,,0,0,0,Low
C000053,13639,MEA,Technology,9325.92,4,176,1,0.969,696.3,Good,1,Email,0,0,DCA-02,2025-08-27,9,2025-09-05,In Progress,0,0.0,,,0,0,0,Low
C000054,14667,LATAM,Manufacturing,3814.69,1,7,1,0.577,625.4,Fair,4,Phone,0,1,DCA-10,2025-05-02,28,2025-05-30,PTP,0,0.0,,,0,0,0,Medium
C000055,14977,APAC,Retail,25726.56,1,160,1,0.702,631.6,Fair,4,Phone,0,0,DCA-07,2025-03-20,25,2025-04-14,In Progress,0,0.0,,,0,0,0,Low
C000056,10438,APAC,Automotive,2920.36,1,133,0,0.82,619.9,Fair,2,Email,0,0,DCA-05,2026-01-27,15,2026-02-11,Closed,1,2329.1,48.0,2026-03-16,0,1,0,Medium
C000057,15465,IND,Manufacturing,9060.19,5,128,1,0.794,569.8,Poor,3,Phone,0,0,DCA-10,2025-01-17,17,2025-02-03,In Progress,0,0.0,,,0,0,0,Low
C000058,11542,IND,Retail,12858.62,3,41,1,0.825,679.7,Good,1,Phone,0,1,DCA-03,2025-04-28,20,2025-05-18,PTP,0,0.0,,,0,0,0,Medium
C000059,17433,APAC,Healthcare,15698.85,3,364,2,0.592,523.0,Poor,5,SMS,1,0,DCA-07,2025-08-12,24,2025-09-05,Escalated,0,0.0,,,0,0,1,Low
C000060,16830,EU,Energy,8034.27,5,10,1,0.778,658.2,Fair,1,Portal,0,0,DCA-03,2025-12-27,8,2026-01-04,In Progress,0,0.0,,,0,0,0,Medium
C000061,19225,NA,Aviation,3690.17,3,54,1,0.594,649.5,Fair,2,Email,0,1,DCA-05,2025-10-18,16,2025-11-03,PTP,0,0.0,,,0,0,0,Medium
C000062,17447,MEA,Healthcare,7625.36,1,38,1,0.933,653.0,Fair,2,Email,0,0,DCA-04,2025-12-22,29,2026-01-20,In Progress,0,0.0,,,0,0,0,Low
C000063,13666,NA,Finance,7909.89,4,356,2,0.748,535.7,Poor,6,Portal,0,0,DCA-08,2025-06-24,16,2025-07-10,Closed,1,6357.18,80.0,2025-09-12,0,0,0,Low
C000064,19675,NA,Finance,7776.29,4,116,1,0.796,678.1,Good,2,SMS,0,1,DCA-05,2025-12-04,22,2025-12-26,PTP,0,0.0,,,0,0,0,Medium
C000065,14108,NA,Manufacturing,26345.19,1,157,0,1.0,698.2,Good,2,Phone,0,0,DCA-04,2025-05-06,13,2025-05-19,In Progress,0,0.0,,,0,0,0,Low
C000066,13258,IND,Retail,5712.88,2,274,2,0.691,550.6,Poor,5,Phone,0,1,DCA-03,2025-03-04,30,2025-04-03,PTP,0,0.0,,,0,0,1,Low
C000067,19055,LATAM,Finance,16492.9,2,19,0,0.767,681.3,Good,5,Portal,0,1,DCA-09,2025-12-20,22,2026-01-11,Closed,1,15389.16,27.0,2026-01-16,1,1,0,High
C000068,13704,IND,Automotive,14925.22,5,25,0,0.841,718.2,Good,1,Email,0,0,DCA-02,2025-09-18,26,2025-10-14,In Progress,0,0.0,,,0,0,0,Medium
C000069,10763,NA,FMCG,26168.68,2,67,1,0.911,690.6,Good,2,Email,1,0,DCA-05,2025-01-27,30,2025-02-26,Dispute,0,0.0,,,0,0,0,Low
C000070,14695,APAC,Energy,12170.96,1,248,1,1.0,700.5,Good,8,Phone,0,0,DCA-05,2025-05-31,25,2025-06-25,Escalated,0,0.0,,,0,0,1,Medium
C000071,17956,LATAM,FMCG,23243.75,2,357,0,0.934,608.8,Fair,6,Email,0,1,DCA-05,2025-03-16,11,2025-03-27,PTP,0,0.0,,,0,0,1,Low
C000072,11894,IND,Logistics,11842.45,4,226,3,0.652,592.8,Fair,6,In-person,0,0,DCA-07,2025-07-06,10,2025-07-16,Escalated,0,0.0,,,0,0,1,Low
C000073,14629,LATAM,Logistics,18107.38,6,318,2,0.581,580.0,Fair,6,Email,0,0,DCA-09,2025-09-22,14,2025-10-06,Escalated,0,0.0,,,0,0,1,Low
C000074,11299,NA,Finance,4665.46,1,322,0,1.0,699.6,Good,4,SMS,0,0,DCA-02,2025-03-02,18,2025-03-20,Closed,1,3736.13,89.0,2025-05-30,0,0,0,Low
C000075,16864,MEA,Aviation,2107.39,7,101,0,0.917,719.4,Good,3,SMS,0,0,DCA-08,2025-12-27,14,2026-01-10,In Progress,0,0.0,,,0,0,0,Medium
C000076,14757,EU,Healthcare,17401.0,3,67,4,0.642,574.3,Poor,4,Email,0,0,DCA-02,2026-01-22,7,2026-01-29,In Progress,0,0.0,,,0,0,0,Low
C000077,13301,EU,Logistics,18066.74,3,59,1,0.514,706.7,Good,2,Email,0,0,DCA-01,2025-09-19,9,2025-09-28,In Progress,0,0.0,,,0,0,0,Low
C000078,12269,IND,Retail,18636.02,1,290,0,1.0,769.9,Very Good,6,Email,0,1,DCA-01,2025-04-15,20,2025-05-05,Closed,1,17705.63,49.0,2025-06-03,0,1,0,Low
C000079,15644,APAC,Finance,9251.56,2,244,0,0.513,530.3,Poor,5,Phone,0,0,DCA-09,2025-03-30,7,2025-04-06,Escalated,0,0.0,,,0,0,1,Low
C000080,16698,APAC,Aviation,37903.76,4,315,1,0.85,575.1,Poor,7,Email,0,1,DCA-09,2025-12-06,29,2026-01-04,Closed,1,32091.05,42.0,2026-01-17,0,1,0,Low
C000081,19403,IND,Automotive,9682.6,5,185,0,1.0,639.2,Fair,2,Portal,0,0,DCA-04,2025-06-21,13,2025-07-04,Closed,1,9009.23,56.0,2025-08-16,0,1,0,Medium
C000082,14371,IND,Automotive,17936.9,6,356,0,0.864,670.4,Good,2,SMS,0,1,DCA-07,2025-01-24,16,2025-02-09,PTP,0,0.0,,,0,0,1,Low
C000083,11606,LATAM,Finance,20256.79,4,326,1,0.773,541.6,Poor,4,Email,0,0,DCA-02,2025-06-10,14,2025-06-24,Escalated,0,0.0,,,0,0,1,Low
C000084,18326,IND,Aviation,44494.38,1,295,0,0.919,657.0,Fair,9,Email,0,1,DCA-08,2025-11-09,15,2025-11-24,PTP,0,0.0,,,0,0,1,Low
C000085,16297,APAC,Manufacturing,10700.86,3,293,1,0.775,567.9,Poor,5,Email,0,0,DCA-10,2025-09-10,22,2025-10-02,Escalated,0,0.0,,,0,0,1,Low
C000086,17002,IND,Automotive,8457.13,6,46,3,0.797,665.9,Fair,3,Portal,1,1,DCA-10,2025-11-11,13,2025-11-24,Dispute,0,0.0,,,0,0,0,Low
C000087,10972,MEA,Retail,4681.15,5,272,0,0.759,652.8,Fair,6,Portal,1,1,DCA-07,2025-09-21,19,2025-10-10,Escalated,0,0.0,,,0,0,1,Low
C000088,13123,IND,Energy,39602.87,5,345,0,0.724,602.6,Fair,4,Phone,0,1,DCA-05,2025-04-14,20,2025-05-04,Closed,1,35424.9,57.0,2025-06-10,0,1,0,Low
C000089,17678,IND,Energy,17943.58,4,107,1,1.0,731.9,Good,3,Phone,0,0,DCA-04,2025-08-12,26,2025-09-07,In Progress,0,0.0,,,0,0,0,Low
C000090,18322,EU,Logistics,18345.56,4,297,0,0.777,554.3,Poor,4,Phone,0,0,DCA-03,2025-08-13,28,2025-09-10,Escalated,0,0.0,,,0,0,1,Low
C000091,14352,IND,Energy,118384.49,7,128,2,1.0,732.9,Good,4,SMS,0,1,DCA-01,2026-01-24,12,2026-02-05,PTP,0,0.0,,,0,0,0,Medium
C000092,18047,APAC,Retail,16773.09,5,78,0,1.0,771.4,Very Good,1,Portal,0,0,DCA-02,2025-04-28,21,2025-05-19,Closed,1,12675.85,67.0,2025-07-04,0,0,0,Medium
C000093,18416,IND,Retail,5368.88,5,266,1,0.893,669.9,Fair,5,Email,0,0,DCA-06,2025-05-09,9,2025-05-18,Escalated,0,0.0,,,0,0,1,Low
C000094,13874,MEA,Retail,11647.74,3,61,2,0.667,634.6,Fair,1,Portal,1,0,DCA-03,2025-03-25,25,2025-04-19,Dispute,0,0.0,,,0,0,0,Low
C000095,18980,IND,Automotive,6752.39,4,176,1,0.802,618.1,Fair,2,Email,0,0,DCA-08,2025-06-01,16,2025-06-17,In Progress,0,0.0,,,0,0,0,Low
C000096,12883,MEA,Retail,10126.31,5,341,2,0.862,594.3,Fair,4,Email,0,0,DCA-08,2025-09-02,15,2025-09-17,Escalated,0,0.0,,,0,0,1,Low
C000097,12395,MEA,Healthcare,10078.78,7,58,2,1.0,695.4,Good,0,Portal,0,0,DCA-05,2025-06-20,27,2025-07-17,Closed,1,8577.45,51.0,2025-08-10,0,1,0,Medium
C000098,16824,IND,Finance,8858.06,6,57,0,1.0,649.5,Fair,2,Phone,0,1,DCA-10,2025-10-14,15,2025-10-29,Closed,1,8734.69,30.0,2025-11-13,1,1,0,Medium
C000099,16367,IND,Manufacturing,5037.69,5,344,1,0.904,659.8,Fair,2,Email,0,0,DCA-09,2025-01-25,13,2025-02-07,Escalated,0,0.0,,,0,0,1,Low
C000100,11397,LATAM,Finance,40731.26,6,283,0,0.829,663.6,Fair,1,Email,0,1,DCA-01,2025-10-09,12,2025-10-21,PTP,0,0.0,,,0,0,1,Low
C000101,18327,IND,Energy,16468.32,1,169,0,0.744,682.9,Good,2,Email,0,0,DCA-09,2025-12-23,23,2026-01-15,In Progress,0,0.0,,,0,0,0,Low
C000102,11999,EU,Technology,11409.13,2,148,2,0.499,533.7,Poor,3,Email,0,0,DCA-09,2025-11-28,9,2025-12-07,In Progress,0,0.0,,,0,0,0,Low
C000103,18048,APAC,Energy,22705.14,2,351,0,0.965,698.7,Good,4,In-person,0,1,DCA-04,2025-07-01,28,2025-07-29,PTP,0,0.0,,,0,0,1,Low
C000104,10073,IND,Aviation,18578.26,5,264,4,0.442,607.4,Fair,8,SMS,0,0,DCA-05,2025-10-10,27,2025-11-06,Escalated,0,0.0,,,0,0,1,Low
C000105,17968,NA,Aviation,16203.52,6,331,0,0.97,718.3,Good,4,Phone,0,0,DCA-01,2025-11-03,9,2025-11-12,Escalated,0,0.0,,,0,0,1,Low
C000106,17869,IND,Retail,21579.49,2,34,2,0.949,739.1,Good,1,Portal,0,0,DCA-03,2025-06-01,24,2025-06-25,In Progress,0,0.0,,,0,0,0,Low
C000107,17803,IND,Retail,14672.85,2,194,0,0.911,643.9,Fair,3,Email,0,0,DCA-10,2025-05-30,7,2025-06-06,Escalated,0,0.0,,,0,0,1,Low
C000108,16648,EU,Energy,21357.43,4,264,0,1.0,810.0,Excellent,5,Email,0,0,DCA-10,2026-01-22,10,2026-02-01,Escalated,0,0.0,,,0,0,1,Low
C000109,14715,IND,Technology,22633.32,7,14,0,0.609,668.0,Fair,1,Phone,0,0,DCA-07,2025-11-21,21,2025-12-12,Closed,1,16849.78,58.0,2026-01-18,0,1,0,Medium
C000110,17051,APAC,Logistics,14971.49,1,187,1,1.0,681.3,Good,5,Phone,0,1,DCA-01,2026-01-13,19,2026-02-01,PTP,0,0.0,,,0,0,1,Medium
C000111,12771,APAC,Aviation,11449.76,7,21,0,1.0,783.4,Very Good,3,Email,0,1,DCA-01,2025-12-09,26,2026-01-04,Closed,1,11096.07,39.0,2026-01-17,0,1,0,Medium
C000112,17807,APAC,Logistics,38998.5,2,328,0,0.748,587.3,Fair,9,Phone,0,0,DCA-06,2025-06-28,22,2025-07-20,Escalated,0,0.0,,,0,0,1,Low
C000113,15556,NA,Technology,9561.2,2,248,2,0.413,518.3,Poor,8,Phone,0,0,DCA-03,2025-06-07,8,2025-06-15,Escalated,0,0.0,,,0,0,1,Low
C000114,14589,LATAM,Manufacturing,17569.5,5,69,1,0.612,606.4,Fair,1,Email,0,0,DCA-07,2026-01-19,27,2026-02-15,In Progress,0,0.0,,,0,0,0,Low
C000115,15056,APAC,Finance,17849.59,6,190,0,0.859,640.6,Fair,3,Phone,0,1,DCA-01,2025-07-16,14,2025-07-30,PTP,0,0.0,,,0,0,1,Low
C000116,15687,IND,Technology,8719.43,7,40,0,0.841,675.8,Good,2,SMS,0,0,DCA-10,2026-01-24,10,2026-02-03,In Progress,0,0.0,,,0,0,0,Low
C000117,10372,IND,Energy,7589.53,1,293,2,0.714,474.8,Poor,8,In-person,1,0,DCA-02,2025-09-03,16,2025-09-19,Escalated,0,0.0,,,0,0,1,Low
C000118,11397,APAC,Manufacturing,10428.56,1,72,1,0.73,656.7,Fair,6,Portal,0,0,DCA-04,2025-10-21,9,2025-10-30,Closed,1,8905.75,70.0,2025-12-30,0,0,0,Low
C000119,12454,IND,Technology,9465.87,4,222,3,0.733,539.6,Poor,2,Email,0,1,DCA-01,2025-10-08,13,2025-10-21,PTP,0,0.0,,,0,0,1,Low
C000120,11145,IND,Retail,4814.12,4,29,0,1.0,758.8,Very Good,1,Email,0,0,DCA-04,2025-11-15,13,2025-11-28,In Progress,0,0.0,,,0,0,0,Medium
C000121,14396,LATAM,Retail,8467.19,2,58,1,0.725,647.9,Fair,1,Phone,0,0,DCA-04,2025-02-27,28,2025-03-27,In Progress,0,0.0,,,0,0,0,Low
C000122,16684,IND,Logistics,16096.48,5,357,3,0.651,621.1,Fair,3,Phone,0,1,DCA-07,2025-02-15,12,2025-02-27,PTP,0,0.0,,,0,0,1,Low
C000123,16544,APAC,Technology,32408.0,2,141,0,1.0,760.0,Very Good,2,Portal,0,0,DCA-09,2025-04-27,20,2025-05-17,In Progress,0,0.0,,,0,0,0,Low
C000124,14710,NA,Manufacturing,19694.09,7,45,1,0.876,634.3,Fair,1,Portal,0,1,DCA-09,2025-04-17,10,2025-04-27,PTP,0,0.0,,,0,0,0,Medium
C000125,18550,APAC,Healthcare,2165.33,2,255,5,0.64,520.7,Poor,7,Phone,0,0,DCA-08,2025-07-15,9,2025-07-24,Escalated,0,0.0,,,0,0,1,Low
C000126,15652,APAC,Manufacturing,20929.45,5,74,0,0.789,598.6,Fair,4,Portal,0,0,DCA-10,2025-02-18,28,2025-03-18,In Progress,0,0.0,,,0,0,0,Medium
C000127,10791,APAC,Energy,9038.91,4,215,2,0.634,543.4,Poor,3,Phone,1,0,DCA-01,2025-07-31,16,2025-08-16,Escalated,0,0.0,,,0,0,1,Low
C000128,17649,NA,Technology,18345.8,1,295,3,0.853,639.4,Fair,3,Phone,0,0,DCA-08,2025-03-02,30,2025-04-01,Escalated,0,0.0,,,0,0,1,Low
C000129,15746,NA,Technology,13228.19,5,249,2,0.904,694.9,Good,4,Phone,0,1,DCA-02,2025-10-16,12,2025-10-28,PTP,0,0.0,,,0,0,1,Low
C000130,16347,APAC,Logistics,11673.99,2,90,3,0.857,620.9,Fair,2,Phone,0,1,DCA-07,2025-11-04,22,2025-11-26,PTP,0,0.0,,,0,0,0,Medium
C000131,15653,IND,Manufacturing,12437.05,4,87,0,1.0,705.8,Good,3,Email,0,0,DCA-09,2026-01-19,7,2026-01-26,Closed,1,10628.57,48.0,2026-03-08,0,1,0,Medium
C000132,15535,EU,Healthcare,13151.66,5,81,0,0.855,749.9,Very Good,1,Email,1,1,DCA-07,2025-03-22,25,2025-04-16,Dispute,0,0.0,,,0,0,0,Medium
C000133,10905,NA,Healthcare,34237.73,1,231,0,1.0,496.4,Poor,1,Email,0,0,DCA-02,2025-02-02,27,2025-03-01,Escalated,0,0.0,,,0,0,1,Low
C000134,15592,EU,Finance,13177.13,2,245,1,0.535,603.9,Fair,2,Phone,0,0,DCA-02,2025-05-30,19,2025-06-18,Escalated,0,0.0,,,0,0,1,Low
C000135,17949,APAC,Aviation,28563.22,3,190,1,1.0,677.0,Good,3,Phone,0,0,DCA-09,2025-10-15,24,2025-11-08,Escalated,0,0.0,,,0,0,1,Low
C000136,13039,NA,Finance,25794.95,7,146,0,0.59,590.1,Fair,1,Email,0,0,DCA-10,2025-06-22,21,2025-07-13,In Progress,0,0.0,,,0,0,0,Low
C000137,16028,APAC,FMCG,21310.0,2,23,1,0.897,708.6,Good,2,Portal,0,0,DCA-08,2025-03-23,19,2025-04-11,Closed,1,20455.35,52.0,2025-05-14,0,1,0,Medium
C000138,10308,LATAM,Healthcare,3825.2,7,305,0,0.927,605.2,Fair,5,Phone,0,1,DCA-03,2025-01-28,27,2025-02-24,PTP,0,0.0,,,0,0,1,Low
C000139,13474,IND,Retail,29191.79,4,241,0,0.799,578.4,Poor,1,Phone,1,1,DCA-03,2025-03-06,25,2025-03-31,Escalated,0,0.0,,,0,0,1,Low
C000140,14367,APAC,Logistics,9696.0,7,233,3,0.847,642.3,Fair,11,Email,0,0,DCA-01,2025-12-07,28,2026-01-04,Closed,1,7619.66,64.0,2026-02-09,0,0,0,Low
C000141,19827,MEA,Technology,22048.7,6,38,0,0.789,595.4,Fair,2,Email,0,0,DCA-05,2025-11-20,12,2025-12-02,Closed,1,19422.08,51.0,2026-01-10,0,1,0,Medium
C000142,12145,MEA,Aviation,6763.03,3,105,4,0.435,549.9,Poor,2,Phone,0,0,DCA-04,2025-12-01,14,2025-12-15,In Progress,0,0.0,,,0,0,0,Low
C000143,12765,APAC,Manufacturing,5828.11,4,111,1,0.888,631.4,Fair,5,Phone,0,0,DCA-03,2025-07-22,9,2025-07-31,In Progress,0,0.0,,,0,0,0,Low
C000144,14085,APAC,Manufacturing,53288.3,6,218,0,0.779,574.8,Poor,7,In-person,0,1,DCA-07,2025-01-08,26,2025-02-03,PTP,0,0.0,,,0,0,1,Medium
