interaction_id,case_id,timestamp,actor,event_type,channel,notes
I0007504,C004134,2025-01-22 16:00:00,DCA,Portal Message,Email,Escalated due to SLA breach
I0023528,C000629,2025-01-23 09:02:00,DCA,Allocated,In-person,Payment received partial
I0008335,C002870,2025-01-23 10:38:00,DCA,Email Sent,Portal,No response after multiple attempts
I0016051,C002274,2025-01-23 10:57:00,FedEx,SMS Sent,Phone,Updated contact details
I0018329,C001975,2025-01-23 12:01:00,DCA,Case Closed,Portal,Left voicemail
I0016012,C001301,2025-01-23 13:00:00,FedEx,PTP Recorded,Portal,Email bounced
I0006306,C003320,2025-01-23 15:38:00,FedEx,Email Sent,Portal,Payment received partial
I0018870,C003794,2025-01-23 15:51:00,FedEx,Escalation,Phone,Left voicemail
I0017347,C004515,2025-01-23 18:24:00,FedEx,Payment Received,Portal,Dispute regarding service charges
I0024675,C000911,2025-01-24 08:13:00,FedEx,Dispute Raised,Phone,Customer requested invoice copy
I0004359,C000230,2025-01-24 08:46:00,DCA,Email Sent,In-person,Dispute regarding service charges
I0011235,C001104,2025-01-24 08:59:00,DCA,SMS Sent,Email,Escalated due to SLA breach
I0016913,C004139,2025-01-24 11:10:00,DCA,PTP Recorded,In-person,Customer promised to pay next week
I0022355,C004050,2025-01-24 14:35:00,FedEx,Case Closed,Portal,Email bounced
I0017011,C004134,2025-01-24 16:29:00,DCA,Escalation,SMS,Escalated due to SLA breach
I0013867,C003985,2025-01-24 16:48:00,DCA,Payment Received,Email,Dispute regarding service charges
I0012844,C004509,2025-01-24 17:20:00,DCA,Portal Message,SMS,Customer asked for payment plan
I0005199,C003757,2025-01-24 17:42:00,DCA,Call Connected,In-person,Dispute regarding service charges
I0010839,C003698,2025-01-25 09:43:00,DCA,Portal Message,In-person,Payment received partial
I0020512,C000294,2025-01-25 09:57:00,DCA,Note Added,In-person,Customer asked for payment plan
I0021393,C001973,2025-01-25 13:00:00,FedEx,Email Sent,Portal,Payment received partial
I0005688,C002370,2025-01-25 13:15:00,FedEx,Payment Received,SMS,Dispute regarding service charges
I0020799,C002956,2025-01-25 13:38:00,DCA,Call Attempt,Phone,Escalated due to SLA breach
I0001975,C003754,2025-01-26 09:58:00,FedEx,Call Connected,Email,Dispute regarding service charges
I0011085,C001057,2025-01-26 11:05:00,FedEx,Dispute Raised,SMS,Customer asked for payment plan
I0020289,C002979,2025-01-26 13:58:00,FedEx,Email Sent,Email,Left voicemail
I0009168,C001189,2025-01-26 14:16:00,FedEx,Call Attempt,SMS,Dispute regarding service charges
I0008167,C004515,2025-01-26 15:18:00,FedEx,Payment Received,SMS,Customer asked for payment plan
I0002824,C004347,2025-01-26 15:19:00,FedEx,Payment Received,Phone,Customer requested invoice copy
I0005368,C004975,2025-01-27 08:44:00,FedEx,Call Attempt,Email,Email bounced
I0023634,C001110,2025-01-27 08:46:00,FedEx,PTP Recorded,Email,No response after multiple attempts
I0003892,C003659,2025-01-27 10:12:00,DCA,PTP Recorded,Phone,Left voicemail
I0020146,C001802,2025-01-27 10:53:00,FedEx,Portal Message,Email,Updated contact details
I0015053,C002821,2025-01-27 13:51:00,FedEx,Email Sent,SMS,Updated contact details
I0015877,C003625,2025-01-27 14:31:00,DCA,PTP Recorded,Email,Updated contact details
I0023413,C004295,2025-01-28 09:34:00,DCA,Email Sent,In-person,Customer promised to pay next week
I0020373,C001619,2025-01-28 09:54:00,DCA,Call Attempt,Email,Customer requested invoice copy
I0003062,C002274,2025-01-28 10:03:00,DCA,PTP Recorded,Email,Customer asked for payment plan
I0005177,C000649,2025-01-28 10:26:00,FedEx,Portal Message,Phone,Email bounced
I0022551,C004886,2025-01-28 10:34:00,FedEx,Portal Message,Phone,No response after multiple attempts
I0006540,C003985,2025-01-28 13:07:00,DCA,SMS Sent,SMS,Email bounced
I0001861,C004243,2025-01-28 13:41:00,FedEx,Call Connected,Phone,Customer promised to pay next week
I0008691,C004460,2025-01-28 15:41:00,FedEx,Dispute Raised,Phone,Email bounced
I0004234,C002340,2025-01-28 16:51:00,FedEx,Escalation,Portal,Customer requested invoice copy
I0020872,C004750,2025-01-28 17:12:00,FedEx,Escalation,Email,No response after multiple attempts
I0006815,C004460,2025-01-29 11:25:00,DCA,Call Connected,SMS,Email bounced
I0024111,C004938,2025-01-29 13:51:00,FedEx,Payment Received,In-person,Dispute regarding service charges
I0020996,C003932,2025-01-29 15:14:00,DCA,Call Connected,SMS,Customer promised to pay next week
I0017312,C003698,2025-01-29 17:32:00,FedEx,Payment Received,SMS,Customer promised to pay next week
I0021270,C001523,2025-01-29 17:53:00,DCA,Note Added,Phone,Escalated due to SLA breach
I0012736,C001776,2025-01-29 18:05:00,DCA,Payment Received,Portal,No response after multiple attempts
I0008615,C001414,2025-01-30 08:06:00,DCA,Call Attempt,Phone,Updated contact details
I0001264,C002525,2025-01-30 08:59:00,DCA,Case Closed,Phone,Customer requested invoice copy
I0012512,C000705,2025-01-30 09:52:00,DCA,Email Sent,SMS,Email bounced
I0018715,C000746,2025-01-30 10:38:00,DCA,Call Attempt,Portal,Customer promised to pay next week
I0015080,C003448,2025-01-30 12:17:00,DCA,Payment Received,Phone,Escalated due to SLA breach
I0013887,C004518,2025-01-30 13:19:00,DCA,Portal Message,Phone,Customer asked for payment plan
I0016494,C000835,2025-01-30 14:41:00,DCA,Email Sent,Email,Updated contact details
I0000040,C001323,2025-01-30 14:50:00,DCA,PTP Recorded,Phone,No response after multiple attempts
I0005685,C000265,2025-01-30 15:06:00,FedEx,Payment Received,Portal,Customer requested invoice copy
I0022844,C001223,2025-01-30 15:46:00,FedEx,Email Sent,Portal,Updated contact details
I0020385,C004040,2025-01-30 16:04:00,DCA,Call Connected,Portal,Customer promised to pay next week
I0022929,C004709,2025-01-30 18:22:00,DCA,Email Sent,SMS,Email bounced
I0016738,C001986,2025-01-31 08:27:00,DCA,Email Sent,In-person,Payment received partial
I0021721,C001276,2025-01-31 09:23:00,DCA,Call Connected,Email,Escalated due to SLA breach
I0019773,C003711,2025-01-31 15:11:00,DCA,Email Sent,In-person,Updated contact details
I0024904,C002365,2025-01-31 18:05:00,FedEx,Escalation,In-person,Payment received partial
I0011844,C002548,2025-02-01 12:10:00,DCA,PTP Recorded,SMS,Email bounced
I0012465,C003086,2025-02-01 15:45:00,DCA,Portal Message,Portal,Escalated due to SLA breach
I0014389,C003407,2025-02-01 16:02:00,FedEx,SMS Sent,Phone,Dispute regarding service charges
I0001702,C003929,2025-02-01 16:03:00,DCA,Email Sent,Portal,Email bounced
I0006631,C000913,2025-02-01 16:39:00,DCA,Note Added,In-person,Dispute regarding service charges
I0015817,C004749,2025-02-01 16:50:00,FedEx,Payment Received,SMS,No response after multiple attempts
I0013364,C002031,2025-02-01 17:44:00,DCA,Allocated,SMS,Customer promised to pay next week
I0005294,C003484,2025-02-01 17:55:00,DCA,PTP Recorded,Portal,No response after multiple attempts
I0017988,C001229,2025-02-01 18:50:00,DCA,Payment Received,SMS,Dispute regarding service charges
I0010050,C002956,2025-02-02 10:24:00,DCA,Call Connected,Email,No response after multiple attempts
I0008904,C003467,2025-02-02 10:48:00,DCA,Escalation,SMS,Escalated due to SLA breach
I0012609,C002971,2025-02-02 11:06:00,DCA,Note Added,Phone,Email bounced
I0007956,C004310,2025-02-02 11:59:00,FedEx,Call Attempt,Portal,Customer asked for payment plan
I0018396,C002227,2025-02-02 12:55:00,DCA,Call Attempt,In-person,Customer promised to pay next week
I0014417,C002151,2025-02-02 13:03:00,DCA,Call Attempt,Email,No response after multiple attempts
I0015621,C003570,2025-02-02 14:08:00,DCA,SMS Sent,In-person,Customer asked for payment plan
I0008865,C002601,2025-02-02 14:27:00,DCA,Email Sent,In-person,Customer promised to pay next week
I0018086,C004509,2025-02-02 15:57:00,DCA,Note Added,Phone,Escalated due to SLA breach
I0007382,C001776,2025-02-02 17:31:00,DCA,Escalation,Email,Payment received partial
I0023757,C001144,2025-02-03 12:53:00,DCA,Email Sent,Portal,Dispute regarding service charges
I0013167,C004904,2025-02-03 14:04:00,FedEx,PTP Recorded,Email,Left voicemail
I0012249,C002956,2025-02-03 14:20:00,DCA,Note Added,Phone,Customer asked for payment plan
I0001649,C004227,2025-02-03 15:58:00,DCA,Payment Received,SMS,Customer asked for payment plan
I0006856,C000379,2025-02-04 09:40:00,DCA,Payment Received,Portal,Left voicemail
I0022011,C001406,2025-02-04 10:06:00,DCA,Dispute Raised,Phone,Dispute regarding service charges
I0000793,C003570,2025-02-04 10:50:00,FedEx,Email Sent,Portal,Customer requested invoice copy
I0020487,C001205,2025-02-04 10:51:00,FedEx,SMS Sent,SMS,Left voicemail
I0020124,C004768,2025-02-04 12:01:00,DCA,SMS Sent,Email,Payment received partial
I0021416,C004498,2025-02-04 12:52:00,DCA,Case Closed,Email,Customer promised to pay next week
I0023011,C001151,2025-02-04 15:22:00,FedEx,Escalation,Email,Left voicemail
I0010228,C001421,2025-02-04 16:08:00,DCA,Email Sent,Portal,No response after multiple attempts
I0007060,C004808,2025-02-04 16:23:00,FedEx,Call Attempt,In-person,Escalated due to SLA breach
I0018724,C004143,2025-02-04 16:37:00,DCA,Call Attempt,Email,Email bounced
I0018465,C002344,2025-02-04 17:19:00,FedEx,Call Attempt,Phone,Updated contact details
I0014088,C002729,2025-02-04 18:03:00,FedEx,Call Connected,SMS,No response after multiple attempts
I0017366,C001156,2025-02-05 08:49:00,DCA,Email Sent,SMS,Email bounced
I0021741,C000265,2025-02-05 09:28:00,DCA,Email Sent,Phone,Updated contact details
I0020132,C004213,2025-02-05 09:52:00,DCA,Call Connected,In-person,Customer promised to pay next week
I0024439,C000741,2025-02-05 11:47:00,DCA,Email Sent,SMS,Escalated due to SLA breach
I0016450,C000248,2025-02-05 13:47:00,DCA,Call Attempt,In-person,Left voicemail
I0017944,C002292,2025-02-05 15:09:00,FedEx,PTP Recorded,Phone,Left voicemail
I0012853,C002227,2025-02-05 15:34:00,FedEx,Dispute Raised,Portal,Left voicemail
I0007981,C000203,2025-02-05 16:44:00,DCA,SMS Sent,In-person,Payment received partial
I0011662,C000718,2025-02-05 16:45:00,DCA,Email Sent,SMS,No response after multiple attempts
I0022582,C000590,2025-02-05 17:34:00,DCA,Escalation,SMS,Customer asked for payment plan
I0014634,C002176,2025-02-06 09:28:00,FedEx,Call Attempt,Portal,Escalated due to SLA breach
I0006752,C004717,2025-02-06 09:30:00,DCA,Email Sent,In-person,Dispute regarding service charges
I0006660,C002971,2025-02-06 09:46:00,FedEx,SMS Sent,Portal,Customer requested invoice copy
I0023171,C002313,2025-02-06 10:13:00,DCA,Call Attempt,Email,Customer promised to pay next week
I0022886,C003484,2025-02-06 10:55:00,FedEx,Allocated,Phone,No response after multiple attempts
I0014905,C003150,2025-02-06 11:05:00,DCA,Call Attempt,SMS,Payment received partial
I0017700,C003404,2025-02-06 13:04:00,FedEx,SMS Sent,SMS,Escalated due to SLA breach
I0022820,C002685,2025-02-06 13:20:00,FedEx,SMS Sent,Email,Customer promised to pay next week
I0006027,C001229,2025-02-06 13:27:00,DCA,Call Attempt,Phone,Customer asked for payment plan
I0014267,C003983,2025-02-06 14:29:00,DCA,Call Attempt,Email,No response after multiple attempts
I0016013,C001850,2025-02-06 17:13:00,DCA,PTP Recorded,Email,No response after multiple attempts
I0003348,C003074,2025-02-06 17:24:00,FedEx,Email Sent,Email,Payment received partial
I0023561,C004870,2025-02-07 08:14:00,DCA,Escalation,Email,Dispute regarding service charges
I0003625,C004162,2025-02-07 09:40:00,DCA,PTP Recorded,SMS,Email bounced
I0003526,C000629,2025-02-07 09:46:00,DCA,Payment Received,Phone,Updated contact details
I0013251,C000629,2025-02-07 11:14:00,DCA,Call Attempt,Phone,Escalated due to SLA breach
I0000698,C000471,2025-02-07 11:21:00,FedEx,Note Added,Portal,Email bounced
I0023622,C002860,2025-02-07 12:18:00,DCA,Escalation,SMS,Escalated due to SLA breach
I0005455,C003705,2025-02-07 12:36:00,DCA,Call Attempt,Email,Customer asked for payment plan
I0019991,C000018,2025-02-07 13:37:00,FedEx,Call Connected,Email,Customer asked for payment plan
I0015979,C003216,2025-02-07 13:39:00,DCA,Case Closed,Phone,Customer requested invoice copy
I0013257,C002420,2025-02-07 13:53:00,DCA,Call Attempt,SMS,Customer promised to pay next week
I0016823,C001039,2025-02-07 15:30:00,DCA,SMS Sent,Phone,Escalated due to SLA breach
I0007724,C001301,2025-02-07 15:50:00,FedEx,Call Attempt,Portal,Dispute regarding service charges
I0001880,C004382,2025-02-07 16:22:00,DCA,Case Closed,Email,Payment received partial
I0012103,C003629,2025-02-07 17:26:00,DCA,Note Added,Phone,Customer asked for payment plan
I0012668,C003518,2025-02-07 18:22:00,FedEx,Call Connected,In-person,Email bounced
I0000863,C004812,2025-02-07 18:25:00,DCA,Call Connected,Phone,Escalated due to SLA breach
I0019708,C001279,2025-02-08 09:14:00,FedEx,PTP Recorded,In-person,Escalated due to SLA breach
I0022583,C004616,2025-02-08 09:23:00,FedEx,Call Attempt,SMS,Updated contact details
I0008714,C002309,2025-02-08 10:48:00,FedEx,SMS Sent,Portal,Customer asked for payment plan
I0001756,C004347,2025-02-08 11:31:00,DCA,Allocated,Phone,No response after multiple attempts
I0007660,C001474,2025-02-08 12:30:00,FedEx,Call Connected,Phone,Customer requested invoice copy
I0002834,C003091,2025-02-08 12:56:00,DCA,Email Sent,Phone,Customer promised to pay next week
I0022016,C000179,2025-02-08 13:28:00,DCA,Escalation,SMS,Payment received partial
I0005231,C001405,2025-02-08 13:57:00,FedEx,Portal Message,SMS,Customer promised to pay next week
I0019193,C000528,2025-02-08 14:29:00,DCA,Email Sent,In-person,Updated contact details
I0012843,C003293,2025-02-08 17:27:00,DCA,Allocated,Phone,Payment received partial
I0015609,C004886,2025-02-09 08:14:00,FedEx,Call Attempt,Phone,Customer asked for payment plan
I0003713,C003586,2025-02-09 08:58:00,FedEx,Payment Received,In-person,Customer promised to pay next week
I0024790,C001691,2025-02-09 09:18:00,FedEx,SMS Sent,Email,Email bounced
I0018494,C003698,2025-02-09 09:58:00,FedEx,Call Attempt,Portal,Customer asked for payment plan
I0007257,C003487,2025-02-09 10:51:00,FedEx,Call Attempt,Email,Payment received partial
I0000258,C002215,2025-02-09 12:21:00,FedEx,SMS Sent,SMS,Customer requested invoice copy
I0024201,C004117,2025-02-09 14:22:00,DCA,Case Closed,Email,Customer requested invoice copy
I0015600,C003320,2025-02-09 16:58:00,DCA,Payment Received,SMS,Escalated due to SLA breach
I0006205,C004938,2025-02-09 18:05:00,FedEx,Escalation,Portal,Left voicemail
I0020593,C002864,2025-02-10 08:40:00,FedEx,Email Sent,In-person,Escalated due to SLA breach
I0009034,C001950,2025-02-10 09:09:00,FedEx,SMS Sent,SMS,Updated contact details
I0016358,C000211,2025-02-10 09:38:00,DCA,Email Sent,Portal,Updated contact details
I0014540,C002879,2025-02-10 10:05:00,DCA,SMS Sent,Portal,Updated contact details
I0012732,C002820,2025-02-10 11:19:00,FedEx,Call Attempt,SMS,No response after multiple attempts
I0014247,C000332,2025-02-10 12:04:00,DCA,Escalation,In-person,Email bounced
I0013105,C002309,2025-02-10 12:31:00,DCA,Call Connected,Email,Escalated due to SLA breach
I0007020,C004415,2025-02-10 15:03:00,DCA,SMS Sent,SMS,Customer promised to pay next week
I0003529,C001059,2025-02-10 15:57:00,DCA,Portal Message,In-person,Customer asked for payment plan
I0019614,C001950,2025-02-10 17:07:00,DCA,Call Connected,In-person,Customer asked for payment plan
I0011643,C001562,2025-02-10 17:54:00,FedEx,Portal Message,Email,Left voicemail
I0018637,C003448,2025-02-10 17:54:00,FedEx,Call Attempt,Portal,No response after multiple attempts
I0000282,C003216,2025-02-10 18:24:00,DCA,Call Attempt,Email,Payment received partial
I0016334,C001175,2025-02-11 08:22:00,DCA,SMS Sent,SMS,Updated contact details
I0018795,C000776,2025-02-11 09:30:00,FedEx,Case Closed,In-person,Dispute regarding service charges
I0023731,C003074,2025-02-11 09:37:00,DCA,SMS Sent,Phone,Updated contact details
I0018589,C001123,2025-02-11 10:01:00,DCA,Allocated,SMS,Left voicemail
I0011516,C003659,2025-02-11 10:49:00,DCA,SMS Sent,SMS,Payment received partial
I0013130,C000419,2025-02-11 11:45:00,FedEx,Call Connected,SMS,Email bounced
I0019426,C003681,2025-02-11 12:27:00,DCA,SMS Sent,SMS,Escalated due to SLA breach
I0006173,C001067,2025-02-11 14:53:00,DCA,PTP Recorded,In-person,Payment received partial
I0023349,C004295,2025-02-11 15:22:00,FedEx,Email Sent,SMS,Customer promised to pay next week
I0019264,C001728,2025-02-11 16:18:00,FedEx,Allocated,SMS,Customer asked for payment plan
I0009737,C001308,2025-02-11 16:37:00,DCA,SMS Sent,SMS,Customer promised to pay next week
I0018534,C003483,2025-02-11 18:08:00,DCA,Call Connected,Email,Left voicemail
I0022858,C004499,2025-02-11 18:13:00,DCA,Allocated,Email,Payment received partial
I0007497,C003320,2025-02-11 18:41:00,FedEx,Call Connected,SMS,Escalated due to SLA breach
I0023088,C001058,2025-02-11 18:46:00,DCA,Call Connected,Email,Left voicemail
I0019236,C004592,2025-02-12 10:13:00,FedEx,Escalation,Phone,No response after multiple attempts
I0003561,C004922,2025-02-12 10:21:00,DCA,Payment Received,SMS,Customer requested invoice copy
I0018177,C004371,2025-02-12 10:35:00,FedEx,Call Attempt,In-person,Email bounced
I0003876,C004917,2025-02-12 12:10:00,DCA,Call Connected,Portal,Payment received partial
I0017581,C003317,2025-02-12 13:45:00,FedEx,Call Attempt,Email,Email bounced
I0011416,C004635,2025-02-12 14:57:00,DCA,Note Added,SMS,Escalated due to SLA breach
I0017792,C003570,2025-02-12 16:03:00,FedEx,Call Attempt,Portal,Customer requested invoice copy
I0019533,C003304,2025-02-12 16:29:00,DCA,Escalation,Portal,Customer requested invoice copy
I0015363,C003985,2025-02-12 16:40:00,FedEx,Call Connected,SMS,Customer promised to pay next week
I0003881,C002496,2025-02-12 16:40:00,DCA,SMS Sent,SMS,Dispute regarding service charges
I0013700,C002714,2025-02-12 16:56:00,DCA,SMS Sent,Email,Updated contact details
I0012194,C000018,2025-02-12 17:58:00,FedEx,Email Sent,Portal,Customer promised to pay next week
I0018004,C001649,2025-02-12 18:06:00,FedEx,Portal Message,Phone,Payment received partial
I0000714,C004768,2025-02-13 08:43:00,DCA,Call Connected,SMS,Customer requested invoice copy
I0019565,C000970,2025-02-13 08:55:00,DCA,Dispute Raised,Email,No response after multiple attempts
I0007473,C001318,2025-02-13 09:11:00,DCA,Note Added,SMS,Escalated due to SLA breach
I0004245,C001649,2025-02-13 11:12:00,DCA,Call Connected,SMS,Payment received partial
I0016067,C002313,2025-02-13 11:33:00,DCA,Call Attempt,Email,Dispute regarding service charges
I0009922,C002602,2025-02-13 13:27:00,DCA,Payment Received,Email,Left voicemail
I0020732,C003293,2025-02-13 13:29:00,DCA,Email Sent,Portal,Customer promised to pay next week
I0021370,C002313,2025-02-13 14:25:00,DCA,Portal Message,In-person,Updated contact details
I0019228,C001565,2025-02-13 14:37:00,DCA,Email Sent,In-person,No response after multiple attempts
I0007051,C004143,2025-02-13 15:28:00,DCA,Call Attempt,SMS,Email bounced
I0021424,C000179,2025-02-13 17:10:00,FedEx,Portal Message,SMS,Customer asked for payment plan
I0021160,C002075,2025-02-13 17:14:00,DCA,Email Sent,SMS,Customer asked for payment plan
I0015244,C002309,2025-02-13 17:47:00,DCA,SMS Sent,Phone,Left voicemail
I0006004,C002968,2025-02-13 18:59:00,DCA,SMS Sent,Phone,Dispute regarding service charges
I0009842,C000265,2025-02-14 08:15:00,FedEx,SMS Sent,SMS,Email bounced
I0009544,C001702,2025-02-14 08:18:00,DCA,Case Closed,In-person,Dispute regarding service charges
I0000915,C000337,2025-02-14 08:42:00,DCA,Portal Message,SMS,Left voicemail
I0001623,C002157,2025-02-14 08:57:00,FedEx,Escalation,In-person,Escalated due to SLA breach
I0003790,C001387,2025-02-14 10:32:00,DCA,Payment Received,SMS,Customer requested invoice copy
I0017629,C000627,2025-02-14 10:57:00,FedEx,Escalation,In-person,Escalated due to SLA breach
I0009167,C003293,2025-02-14 12:29:00,DCA,SMS Sent,Phone,No response after multiple attempts
I0022027,C000230,2025-02-14 13:10:00,FedEx,Email Sent,Email,Customer promised to pay next week
I0007725,C003681,2025-02-14 13:29:00,DCA,Call Attempt,SMS,Email bounced
I0015893,C002225,2025-02-14 13:29:00,DCA,Escalation,Portal,Escalated due to SLA breach
I0005349,C004415,2025-02-14 13:31:00,DCA,Portal Message,SMS,Escalated due to SLA breach
I0000187,C004117,2025-02-14 13:59:00,DCA,Dispute Raised,Email,No response after multiple attempts
I0010856,C002432,2025-02-14 14:50:00,DCA,Escalation,Portal,No response after multiple attempts
I0023100,C000623,2025-02-14 16:06:00,DCA,Call Attempt,Phone,Left voicemail
I0001157,C000608,2025-02-14 16:41:00,DCA,Allocated,In-person,Payment received partial
I0011584,C003602,2025-02-14 18:24:00,FedEx,Call Connected,Portal,Customer asked for payment plan
I0005662,C003985,2025-02-14 18:40:00,DCA,Dispute Raised,Phone,Customer asked for payment plan
I0016497,C000211,2025-02-14 18:51:00,DCA,SMS Sent,Phone,Email bounced
I0007447,C001562,2025-02-14 18:57:00,DCA,Call Connected,Portal,Customer promised to pay next week
I0001892,C002218,2025-02-15 08:46:00,FedEx,Email Sent,Phone,Updated contact details
I0015340,C001106,2025-02-15 09:01:00,DCA,Call Connected,Portal,Dispute regarding service charges
I0015820,C004506,2025-02-15 09:27:00,DCA,Payment Received,SMS,Updated contact details
